Year,Month,Day,Hour,Minute,Droga,Odcinek/Miejscowość,Województwo,Rodzaj,Skutek,Rozpoczęcie,Zakończenie,Informacje
2022,5,26,18,32,DK50,Sochocin - Poświętne,mazowieckie,Roboty drogowe,60 ruch wahadłowy,05.05.2022 godz. 07:00,03.06.2022 godz. 12:00,Droga nr DK50 - 23.9 km na odc. 4.8 km Prace brukarskie - umocnienie poboczy
2022,5,26,18,32,S8,Węzeł Trojany - Węzeł Niegów,mazowieckie,Roboty drogowe,,26.04.2022 godz. 08:00,31.07.2022 godz. 14:00,Droga nr S8 - 494.7 km na odc. 0.4 km Budowa ekranów akustycznych
2022,5,26,18,32,DK2,Obwodnica m. Siedlce,mazowieckie,Roboty drogowe,50,12.04.2022 godz. 07:30,31.05.2022 godz. 15:00,Droga nr DK2 - 566.7 km na odc. 0.1 km
2022,5,26,18,32,DK2,Budowa węzła Zakęt,mazowieckie,Roboty drogowe,40,14.03.2022 godz. 07:00,30.11.2022 godz. 16:00,Droga nr DK2 - 495.6 km na odc. 0.9 km
2022,5,26,18,32,DK79,Od skrzyżowania z ul. Energetyczną do skrzyżowania z ul. Syrenki w Piasecznie,mazowieckie,Roboty drogowe,,09.03.2022 godz. 12:00,31.07.2022 godz. 00:00,Droga nr DK79 - 8.7 km na odc. 0.5 km
2022,5,26,18,32,DK48,Białobrzegi,mazowieckie,Roboty drogowe,30,09.03.2022 godz. 11:00,30.06.2022 godz. 12:00,Droga nr DK48 - 80.4 km na odc. 0.3 km Budowa sygnalizacji świetlnej
2022,5,26,18,32,S8p,Węzeł Zielonka - Węzeł Marki,mazowieckie,Roboty drogowe,90,02.03.2022 godz. 09:00,30.06.2022 godz. 14:00,Droga nr S8p - 2.2 km na odc. 0.5 km Budowa ekranów akustycznych
2022,5,26,18,32,S8p,Węzeł Marki - Węzeł Zielonka,mazowieckie,Roboty drogowe,100,01.03.2022 godz. 09:00,30.06.2022 godz. 14:00,Droga nr S8p - 2.2 km na odc. 0.6 km Budowa ekranów akustycznych.
2022,5,26,18,32,DK61,m. Szelków,mazowieckie,Roboty drogowe,40 sygnalizacja świetlna ruch wahadłowy,28.02.2022 godz. 08:00,15.06.2022 godz. 16:00,Droga nr DK61 - 77.4 km na odc. 0.6 km Wykonanie chodnika i kanalizacji deszczowej. Etap 2.
2022,5,26,18,32,S8p,Węzeł Marki - Węzeł Zielonka,mazowieckie,Roboty drogowe,,17.02.2022 godz. 12:00,30.06.2022 godz. 14:00,Droga nr S8p - 0.4 km na odc. 1.2 km Budowa ekranów akustycznych.
2022,5,26,18,32,S79a,w. MPL Okęcie - w. Marynarska,mazowieckie,Inne,,15.02.2022 godz. 15:00,15.02.2023 godz. 15:00,"Droga nr S79a - 1.7 km na odc. 0.0 km Remont tunelu drogowego TD-34, wyłączona z ruchu zostanie łącznica z tunelem pod S-79, a w obrębie węzła Marynarska powstanie tymczasowa zawrotka"
2022,5,26,18,32,DK57,Dobrzankowo,mazowieckie,Roboty drogowe,sygnalizacja świetlna,10.02.2022 godz. 08:00,22.10.2022 godz. 13:00,"Droga nr DK57 - 155.1 km na odc. 1.0 km BUDOWA CHODNIKA W PASIE DROGI KRAJOWEJ NR 57 W M. DOBRZANKOWO ODC. (155+125,00 - 156+104,00) Wykonawca: Waldemar Surmacz Przedsiębiorstwo Produkcyjno Usługowo Handlowe WALDI, ul. Szosa Ciechanowska 13e, 06-300 Przasnysz, tel. 29 752 24 92 Zamawiajacy: GDDKiA o/Warszawa reporezentowany przez Rejon Przasnysz tel. 29 752 51 98"
2022,5,26,18,32,S8p,Węzęł Zielonka - Węzęł Marki,mazowieckie,Roboty drogowe,100,24.01.2022 godz. 10:00,31.05.2022 godz. 14:00,Droga nr S8p - 0.5 km na odc. 1.5 km Budowa ekranów akustycznych.
2022,5,26,18,32,DK57,DK57 m. Sierakowo,mazowieckie,Roboty drogowe,ruch wahadłowy,11.01.2022 godz. 10:25,22.10.2022 godz. 17:00,"Droga nr DK57 - 151.5 km na odc. 0.4 km Budowa chodnika w ciągu DK57 na odc 151+450-151+880 str. p w m. Sierakowo Wykonawca robót: PPUH Waldemar Surmacz ul. Szosa Ciechanowska 13e, 06-300 Przasnysz, tel. 29 752 24 92"
2022,5,26,18,32,S8a,Obwodnica Ostrowi Mazowieckiej,mazowieckie,Roboty drogowe,60 ruch 2 kierunkowy,04.01.2022 godz. 14:00,30.11.2022 godz. 17:00,Droga nr S8a - 4.8 km na odc. 3.0 km Budowa S61. Wyłączony z ruchu odcinek między węzłem Ostrów Maz. Północ i węzłem Podborze w kierunku Warszawy. Wyłączona z ruchu łącznica wjazdowa od Białegostoku oraz zjazdowa do Białegostoku na węźle Ostrów Maz. Północ. Objazd relacji zamkniętych odbywa się przez węzeł Ostrów Maz. Południe.
2022,5,26,18,32,S8d,Obwodnica Wyszkowa,mazowieckie,Inne,80,07.12.2021 godz. 08:00,31.07.2022 godz. 17:00,Droga nr S8d - 1.9 km na odc. 8.8 km Budowa ekranów akustycznych na jezdni w kierunku Warszawy i Białegostoku. Prace prowadzone punktowo. Wyłączony z ruchu pas prawy i awaryjny. Prace na jezdni w kierunku Białegostoku mogą być prowadzone w godzinach 4-14. Prace prowadzone na jezdni w kierunku Warszawy mogą być prowadzone w godzinach 10-20.
