Year,Month,Day,Hour,Minute,Droga,Odcinek/Miejscowość,Województwo,Rodzaj,Skutek,Rozpoczęcie,Zakończenie,Informacje
2022,5,26,18,32,DK57,przejście przez m. Bogate,mazowieckie,Roboty drogowe,ruch wahadłowy,02.12.2021 godz. 09:15,22.10.2022 godz. 15:00,"Droga nr DK57 - 157.7 km na odc. 0.6 km Budowa chodnika w ciągu DK57 na odc. 157+720-158+720 str. L Wykonawca: Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Waldi Waldemar Surmacz, ul. Szosa Ciechanowska 13e, 06-300 Przasnysz, tel. (29) 752 24 92"
2022,5,26,18,32,DK7,Gdańsk-Warszawa w m. Mława,mazowieckie,Roboty drogowe,50,19.11.2021 godz. 14:00,30.09.2022 godz. 15:00,Droga nr DK7 - 240.0 km na odc. 0.4 km
2022,5,26,18,32,DK7,Kondrajec-Płońsk,mazowieckie,Roboty drogowe,60,07.10.2019 godz. 08:00,24.06.2022 godz. 10:00,Droga nr DK7 - 277.5 km na odc. 17.9 km Budowa drogi S7
Year,Month,Day,Hour,Minute,Droga,Odcinek/Miejscowość,Województwo,Rodzaj,Skutek,Rozpoczęcie,Zakończenie,Informacje
2022,5,26,18,45,DK61,Legionowo,mazowieckie,Roboty drogowe,,26.05.2022 godz. 18:00,27.05.2022 godz. 05:00,Droga nr DK61 - 24.9 km na odc. 0.2 km
2022,5,26,18,45,DK61,Zegrze,mazowieckie,Inne,,26.05.2022 godz. 12:00,27.05.2022 godz. 00:00,Droga nr DK61 - 31.1 km na odc. 0.7 km
2022,5,26,18,45,DK62,Wilczkowo - Czerwińsk,mazowieckie,Inne,60,26.05.2022 godz. 11:00,31.05.2022 godz. 15:00,"Droga nr DK62 - 151.7 km na odc. 11.3 km Renowacja rowów w m.Wyszogród km. 153+600 do km 155+000 strona prawa, lewa."
2022,5,26,18,45,DK63,Siedlce - Łuków,mazowieckie,Roboty drogowe,60 ruch wahadłowy,26.05.2022 godz. 10:00,01.06.2022 godz. 20:00,Droga nr DK63 - 274.2 km na odc. 13.7 km Roboty szybko postępujące.
2022,5,26,18,45,DK60,m. Różan,mazowieckie,Roboty drogowe,50,26.05.2022 godz. 08:00,27.05.2022 godz. 12:00,Droga nr DK60 - 208.7 km na odc. 0.6 km Ścinka poboczy i renowacja rowów.
2022,5,26,18,45,DK79,Góra Kalwaria-Sandomierz na odc. Mniszew-Kozienice,mazowieckie,Roboty drogowe,ruch wahadłowy,25.05.2022 godz. 09:00,27.05.2022 godz. 12:00,Droga nr DK79 - 43.0 km na odc. 35.1 km
2022,5,26,18,45,DK79,Góra Kalwaria-Sandomierz m. Kozienice ul: Radomska,mazowieckie,Roboty drogowe,droga zamknięta,25.05.2022 godz. 09:00,25.06.2022 godz. 16:00,Droga nr DK79 - 80.6 km na odc. 0.4 km
2022,5,26,18,45,DK79,Góra Kalwaria-Sandomierz w m. Aleksandrówka,mazowieckie,Roboty drogowe,sygnalizacja świetlna ruch wahadłowy,25.05.2022 godz. 09:00,30.06.2022 godz. 16:00,Droga nr DK79 - 81.8 km na odc. 0.4 km
2022,5,26,18,45,S8,Węzeł Niegów - Węzeł Trojany,mazowieckie,Roboty drogowe,,24.05.2022 godz. 10:00,31.07.2024 godz. 14:00,Droga nr S8 - 499.9 km na odc. 0.3 km Budowa ekranów akustycznych.
2022,5,26,18,45,DK48,Tomaszów Mazowiecki - Kozienice,mazowieckie,Roboty drogowe,50 ruch wahadłowy,23.05.2022 godz. 11:00,30.08.2022 godz. 15:00,Droga nr DK48 - 127.6 km na odc. 0.2 km
2022,5,26,18,45,DK61,Pułtusk - Różan,mazowieckie,Roboty drogowe,60,23.05.2022 godz. 10:00,27.05.2022 godz. 12:00,Droga nr DK61 - 64.5 km na odc. 27.6 km Roboty szybkopostępujące. Odcinki robocze 2 km.
2022,5,26,18,45,DK62,Wyszków - Łochów,mazowieckie,Roboty drogowe,60 ruch wahadłowy,23.05.2022 godz. 08:00,31.05.2022 godz. 15:00,Droga nr DK62 - 249.1 km na odc. 10.4 km Prace utrzymaniowe prowadzone punktowo.
2022,5,26,18,45,DK76,Wilga-Garwolin,mazowieckie,Roboty drogowe,60 ruch wahadłowy,23.05.2022 godz. 08:00,27.05.2022 godz. 15:00,Droga nr DK76 - 2.0 km na odc. 2.0 km
2022,5,26,18,45,DK7,Pokrytki-Unieżyrz,mazowieckie,Roboty drogowe,50 ruch wahadłowy,19.05.2022 godz. 07:00,28.05.2022 godz. 15:00,Droga nr DK7 - 260.9 km na odc. 6.8 km
2022,5,26,18,45,DK79,Kozienice - Zwoleń  (Molendy - Garbatka Letnisko),mazowieckie,Inne,droga zamknięta,18.05.2022 godz. 09:00,27.05.2022 godz. 18:00,Droga nr DK79 - 89.8 km na odc. 3.3 km Remont przejazdu PKP Objazd: kierunek Sandomierz (Zwoleń) DW 737 (Aleksandrówka - Pionki) i DW 691 (Pionki - Garbatka Letnisko) kierunek Warszawa (Kozienice) DW 691 (Garbatka Letnisko - Pionki) i DW 737 (Pionki - Aleksandrówka)
2022,5,26,18,45,DK60,Różan - Ostrów Mazowiecka,mazowieckie,Roboty drogowe,60,18.05.2022 godz. 08:00,31.05.2022 godz. 15:00,Droga nr DK60 - 225.5 km na odc. 18.0 km Prace utrzymaniowe prowadzone punktowo.
2022,5,26,18,45,DK50,Kąty Borucza,mazowieckie,Roboty drogowe,60,18.05.2022 godz. 07:00,31.05.2022 godz. 16:00,Droga nr DK50 - 234.1 km na odc. 1.0 km
2022,5,26,18,45,DK50,Kąty Borucza,mazowieckie,Roboty drogowe,60,18.05.2022 godz. 07:00,31.05.2022 godz. 16:00,Droga nr DK50 - 236.1 km na odc. 0.5 km
2022,5,26,18,45,DK7,Siedlin - Trębki,mazowieckie,Roboty drogowe,80,17.05.2022 godz. 15:30,27.05.2022 godz. 12:00,Droga nr DK7 - 300.1 km na odc. 20.5 km Koszenie pasa drogowego.Ograniczenie prędkości do 80 km/h.
2022,5,26,18,45,S8,Węzeł Niegów - Węzeł Trojany,mazowieckie,Roboty drogowe,,10.05.2022 godz. 10:00,31.07.2022 godz. 14:00,Droga nr S8 - 495.6 km na odc. 0.4 km Budowa ekranów akustycznych.
2022,5,26,18,45,DK57,Młodzianowo - Obiecanowo,mazowieckie,Roboty drogowe,ruch wahadłowy,10.05.2022 godz. 08:00,27.05.2022 godz. 13:00,"Droga nr DK57 - 167.6 km na odc. 1.0 km Roboty budowlane prowadzone w ciagu DK57 na odc. 167,700-168,600 str.p i l w zakresie renowacji rowów Wykonawca: PHU Urbanowski Zenon, ul. Mazowiecka 16, 06-200 Maków Maz."
2022,5,26,18,45,DK62,Sokołów Podlaski-Repki,mazowieckie,Inne,40,06.05.2022 godz. 10:00,01.06.2022 godz. 10:00,Droga nr DK62 - 314.5 km na odc. 6.3 km Budowa sieci gazowej
2022,5,26,18,45,DK2,Obwodnica Siedlec,mazowieckie,Roboty drogowe,50 ruch 2 kierunkowy,05.05.2022 godz. 15:00,05.05.2023 godz. 15:00,Droga nr DK2 - 567.2 km na odc. 2.0 km Wyłaczenie jednego pasa ruchu - w związku z budową V odcinka autostrady A 2 Wykonawca robót POLAQUA
2022,5,26,18,45,DK50,Sochocin - Poświętne,mazowieckie,Roboty drogowe,60 ruch wahadłowy,05.05.2022 godz. 07:00,03.06.2022 godz. 12:00,Droga nr DK50 - 23.9 km na odc. 4.8 km Prace brukarskie - umocnienie poboczy
2022,5,26,18,45,S8,Węzeł Trojany - Węzeł Niegów,mazowieckie,Roboty drogowe,,26.04.2022 godz. 08:00,31.07.2022 godz. 14:00,Droga nr S8 - 494.7 km na odc. 0.4 km Budowa ekranów akustycznych
2022,5,26,18,45,DK2,Obwodnica m. Siedlce,mazowieckie,Roboty drogowe,50,12.04.2022 godz. 07:30,31.05.2022 godz. 15:00,Droga nr DK2 - 566.7 km na odc. 0.1 km
2022,5,26,18,45,DK2,Budowa węzła Zakęt,mazowieckie,Roboty drogowe,40,14.03.2022 godz. 07:00,30.11.2022 godz. 16:00,Droga nr DK2 - 495.6 km na odc. 0.9 km
2022,5,26,18,45,DK79,Od skrzyżowania z ul. Energetyczną do skrzyżowania z ul. Syrenki w Piasecznie,mazowieckie,Roboty drogowe,,09.03.2022 godz. 12:00,31.07.2022 godz. 00:00,Droga nr DK79 - 8.7 km na odc. 0.5 km
2022,5,26,18,45,DK48,Białobrzegi,mazowieckie,Roboty drogowe,30,09.03.2022 godz. 11:00,30.06.2022 godz. 12:00,Droga nr DK48 - 80.4 km na odc. 0.3 km Budowa sygnalizacji świetlnej
2022,5,26,18,45,S8p,Węzeł Zielonka - Węzeł Marki,mazowieckie,Roboty drogowe,90,02.03.2022 godz. 09:00,30.06.2022 godz. 14:00,Droga nr S8p - 2.2 km na odc. 0.5 km Budowa ekranów akustycznych
2022,5,26,18,45,S8p,Węzeł Marki - Węzeł Zielonka,mazowieckie,Roboty drogowe,100,01.03.2022 godz. 09:00,30.06.2022 godz. 14:00,Droga nr S8p - 2.2 km na odc. 0.6 km Budowa ekranów akustycznych.
2022,5,26,18,45,DK61,m. Szelków,mazowieckie,Roboty drogowe,40 sygnalizacja świetlna ruch wahadłowy,28.02.2022 godz. 08:00,15.06.2022 godz. 16:00,Droga nr DK61 - 77.4 km na odc. 0.6 km Wykonanie chodnika i kanalizacji deszczowej. Etap 2.
2022,5,26,18,45,S8p,Węzeł Marki - Węzeł Zielonka,mazowieckie,Roboty drogowe,,17.02.2022 godz. 12:00,30.06.2022 godz. 14:00,Droga nr S8p - 0.4 km na odc. 1.2 km Budowa ekranów akustycznych.
2022,5,26,18,45,S79a,w. MPL Okęcie - w. Marynarska,mazowieckie,Inne,,15.02.2022 godz. 15:00,15.02.2023 godz. 15:00,"Droga nr S79a - 1.7 km na odc. 0.0 km Remont tunelu drogowego TD-34, wyłączona z ruchu zostanie łącznica z tunelem pod S-79, a w obrębie węzła Marynarska powstanie tymczasowa zawrotka"
2022,5,26,18,45,DK57,Dobrzankowo,mazowieckie,Roboty drogowe,sygnalizacja świetlna,10.02.2022 godz. 08:00,22.10.2022 godz. 13:00,"Droga nr DK57 - 155.1 km na odc. 1.0 km BUDOWA CHODNIKA W PASIE DROGI KRAJOWEJ NR 57 W M. DOBRZANKOWO ODC. (155+125,00 - 156+104,00) Wykonawca: Waldemar Surmacz Przedsiębiorstwo Produkcyjno Usługowo Handlowe WALDI, ul. Szosa Ciechanowska 13e, 06-300 Przasnysz, tel. 29 752 24 92 Zamawiajacy: GDDKiA o/Warszawa reporezentowany przez Rejon Przasnysz tel. 29 752 51 98"
2022,5,26,18,45,S8p,Węzęł Zielonka - Węzęł Marki,mazowieckie,Roboty drogowe,100,24.01.2022 godz. 10:00,31.05.2022 godz. 14:00,Droga nr S8p - 0.5 km na odc. 1.5 km Budowa ekranów akustycznych.
2022,5,26,18,45,DK57,DK57 m. Sierakowo,mazowieckie,Roboty drogowe,ruch wahadłowy,11.01.2022 godz. 10:25,22.10.2022 godz. 17:00,"Droga nr DK57 - 151.5 km na odc. 0.4 km Budowa chodnika w ciągu DK57 na odc 151+450-151+880 str. p w m. Sierakowo Wykonawca robót: PPUH Waldemar Surmacz ul. Szosa Ciechanowska 13e, 06-300 Przasnysz, tel. 29 752 24 92"
2022,5,26,18,45,S8a,Obwodnica Ostrowi Mazowieckiej,mazowieckie,Roboty drogowe,60 ruch 2 kierunkowy,04.01.2022 godz. 14:00,30.11.2022 godz. 17:00,Droga nr S8a - 4.8 km na odc. 3.0 km Budowa S61. Wyłączony z ruchu odcinek między węzłem Ostrów Maz. Północ i węzłem Podborze w kierunku Warszawy. Wyłączona z ruchu łącznica wjazdowa od Białegostoku oraz zjazdowa do Białegostoku na węźle Ostrów Maz. Północ. Objazd relacji zamkniętych odbywa się przez węzeł Ostrów Maz. Południe.
2022,5,26,18,45,S8d,Obwodnica Wyszkowa,mazowieckie,Inne,80,07.12.2021 godz. 08:00,31.07.2022 godz. 17:00,Droga nr S8d - 1.9 km na odc. 8.8 km Budowa ekranów akustycznych na jezdni w kierunku Warszawy i Białegostoku. Prace prowadzone punktowo. Wyłączony z ruchu pas prawy i awaryjny. Prace na jezdni w kierunku Białegostoku mogą być prowadzone w godzinach 4-14. Prace prowadzone na jezdni w kierunku Warszawy mogą być prowadzone w godzinach 10-20.
2022,5,26,18,45,DK57,przejście przez m. Bogate,mazowieckie,Roboty drogowe,ruch wahadłowy,02.12.2021 godz. 09:15,22.10.2022 godz. 15:00,"Droga nr DK57 - 157.7 km na odc. 0.6 km Budowa chodnika w ciągu DK57 na odc. 157+720-158+720 str. L Wykonawca: Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Waldi Waldemar Surmacz, ul. Szosa Ciechanowska 13e, 06-300 Przasnysz, tel. (29) 752 24 92"
2022,5,26,18,45,DK7,Gdańsk-Warszawa w m. Mława,mazowieckie,Roboty drogowe,50,19.11.2021 godz. 14:00,30.09.2022 godz. 15:00,Droga nr DK7 - 240.0 km na odc. 0.4 km
2022,5,26,18,45,DK7,Kondrajec-Płońsk,mazowieckie,Roboty drogowe,60,07.10.2019 godz. 08:00,24.06.2022 godz. 10:00,Droga nr DK7 - 277.5 km na odc. 17.9 km Budowa drogi S7
